Country,Suicide_rate,ISO-code,Urbanization_rate,Fertility,Life_expectancy,Meat_consumption,Median_age,Population_growth,Sex-ratio,GDP_per_capita,Continent,Population
Canada,10.4,CAN,81.6,1.5,82.3,108.1,42.2,1.14,0.98,52144,North America,37742157
Central African Republic,11.6,CAF,42.2,4.7,52.8,28,19.7,1.99,0.99,864,Africa,4829764
Chad,15.5,TCD,23.5,5.7,54,14.3,17.8,3,0.98,2603,Africa,16425859
Chile,9.7,CHL,87.7,1.6,80,66.4,34.4,0.9,0.97,27150,South America,19116209
China,8,CHN,61.4,1.7,76.7,52.4,37.4,0.49,1.06,20984,Asia,1439323774
Colombia,7,COL,81.4,1.8,77.1,33.9,30,1.32,0.98,16265,South America,50882884
Comoros,11.1,COM,29.4,4.2,64.1,7.6,19.9,2.44,0.94,2898,Africa,869595
Costa Rica,7.5,CRI,80.8,1.8,80.1,40.4,31.3,1.42,1,18651,North America,5094114
Croatia,11.5,HRV,57.6,1.5,78.3,49.9,43,-0.32,0.93,29207,Europe,4105268
Cuba,10.1,CUB,77.2,1.6,78.6,32.2,41.5,-0.05,0.99,8822,North America,11326616
Cyprus,4.5,CYP,66.8,1.3,80.8,131.3,36.8,1.11,1.05,42956,Europe,875899
Czech Republic,10.5,CZE,74.1,1.7,79.2,77.3,42.1,0.18,0.97,40585,Europe,0
Denmark,9.2,DNK,88.1,1.7,80.8,145.9,42.2,0.36,0.99,55675,Europe,5792203
Djibouti,8.5,DJI,78.1,2.7,66.6,17.1,23.9,1.52,0.83,5855,Africa,988002
Dominican Republic,10.5,DOM,82.5,2.3,73.9,37.8,28.1,1.26,1.02,20625,North America,10847904
Ecuador,7.2,ECU,64.2,2.4,76.8,45,27.7,1.6,0.99,11866,South America,17643060
Egypt,4.4,EGY,42.8,3.3,71.8,22.5,23.9,1.66,1.05,14800,Africa,102334403
El Salvador,13.5,SLV,73.4,2,73.1,21.4,27.1,0.66,0.92,8593,North America,6486201
Equatorial Guinea,22,GNQ,73.1,4.5,58.4,0,19.8,2.8,1,19961,Africa,1402985
Eritrea,13.8,ERI,41.3,4.1,65.9,7.7,19.7,3.28,0.97,1103,Africa,3546427
Estonia,14.4,EST,69.2,1.7,78.6,67.4,42.7,-0.04,0.88,37606,Europe,1326539
Eswatini,16.7,SWZ,24.2,3,59.4,0,21.7,1.54,0.9,11139,Africa,1160164
Ethiopia,11.4,ETH,21.7,4.2,66.2,7.9,17.9,2.58,1,2702,Africa,114963583
Fiji,5.5,FJI,57.2,2.8,67.3,39.1,28.9,0.78,1.03,12689,Oceania,896444
Finland,11.7,FIN,85.5,1.4,81.7,67.4,42.5,0.48,0.97,49548,Europe,5540718
France,12.1,FRA,81,1.9,82.5,101.1,41.4,0.5,0.96,48640,Europe,65273512
Gabon,9.6,GAB,90.1,4,66.2,46,18.6,2.39,1.08,19839,Africa,2225728
Georgia,6.7,GEO,59.5,2.1,73.6,26,38.1,0.63,0.92,13200,Europe,3989175
Germany,9.1,DEU,77.5,1.6,81.2,82.1,47.1,0.11,0.96,55306,Europe,83783945
Ghana,8.7,GHA,57.3,3.9,63.8,9.9,21.1,2.17,0.97,7343,Africa,31072945
Greece,3.8,GRC,79.7,1.4,82.1,78.7,44.5,-0.18,0.95,31616,Europe,10423056
Greenland,11.3,GRL,87.3,2,71.25,63.4,33.9,-0.11,1.08,48182,North America,0
Grenada,1.7,GRD,36.5,2.1,72.4,97,31.5,0.39,1.03,17434,North America,112519
Guatemala,2.9,GTM,51.8,2.9,74.1,23.8,22.1,2.53,0.99,9009,North America,17915567
Guinea,10.5,GIN,44.2,4.7,61.2,6.5,20.1,2.56,1,2574,Africa,13132792
Guinea,7.4,GIN,44.2,4.7,61.2,6.5,20.1,2.56,1,2574,Africa,13132792
Guyana,30.2,GUY,26.8,2.5,69.8,31.8,26.2,0.57,1.02,17163,South America,786559
Haiti,12.2,HTI,57.1,2.9,63.7,15.3,23,1.39,0.98,1916,North America,11402533
